Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
03/11/2010 00:00:00,Fluor Team Receives Final Notice to Proceed from NTTA on Texas SH 161 Extension,
03/09/2010 00:00:00,Fluor & B&W Form Alliance to Market Carbon Capture Technology,
03/03/2010 00:00:00,Greg Meyer Joins Fluor Government Group to Lead Its Environmental/Nuclear Business Line,
03/02/2010 00:00:00,Fluor Awarded Debswana Contract for Diamond Mine Expansion in Africa,
02/28/2010 00:00:00,Fluor Provides Engineering Services for Singapore LNG Terminal,
02/25/2010 00:00:00,Fluor Reports Fourth Quarter and Full Year 2009 Results,
02/22/2010 00:00:00,Fluor Performing Feasibility Study for PetroChina Consortium,
02/18/2010 00:00:00,Fluor Secures $500 Million Contract for Iron Ore Mining Expansion in Western Australia,
02/16/2010 00:00:00,Fluor Secures Solar Power Contract in Spain,
02/10/2010 00:00:00,Fluor Wins New DuPont O&M Contract for Nine Sites,
02/04/2010 00:00:00,Fluor Corporation Announces Quarterly Dividend,
02/02/2010 00:00:00,Fluor Selected by Petrobras Affiliate for U.S. Refinery Study,
01/29/2010 00:00:00,U.S. Army Chooses Fluor for Haiti Relief Support,
01/20/2010 00:00:00,Fluor Corporation Announces Fourth Quarter Earnings Conference Call,
01/08/2010 00:00:00,Fluor Consortium Wins Exclusive Rights in Round 3 of UK Offshore Wind Farm Development Programme,
01/07/2010 00:00:00,Fluor Completes Construction on Luminant’s Oak Grove Unit 1 in Texas,
12/09/2009 00:00:00,Utah DOT Selects Fluor-Led Team for $1.1 Billion Major Expansion of I-15 Corridor,
12/01/2009 00:00:00,National Safety Council Selects AMECO for Best Safety Performance,
11/19/2009 00:00:00,Fluor Forms Offshore Alliance with COOEC,
11/18/2009 00:00:00,Fluor to Present at FBR Capital Markets 2009 Fall Investor Conference,
11/11/2009 00:00:00,Fluor Reaches 10 Million Safe Work Hours at Luminant’s Oak Grove Project,
11/09/2009 00:00:00,Fluor Appoints David T. Seaton Chief Operating Officer,
11/09/2009 00:00:00,Fluor Reports Third Quarter Earnings,
11/06/2009 00:00:00,Fluor Wins New Iraq Contracts From U.S. Army Corps of Engineers,
11/03/2009 00:00:00,Fluor Awarded Gas Storage Contract in The Netherlands,
10/30/2009 00:00:00,Fluor Corporation Announces Quarterly Dividend,
10/12/2009 00:00:00,Fluor Power Plant Project for Newmont Mining in Nevada Receives PMI’s 2009 Project of the Year,
10/08/2009 00:00:00,Fluor Corporation Announces Third Quarter Earnings Conference Call,
09/17/2009 00:00:00,Fluor Enables LDK Solar’s Plant to Reach First Production in Only 20 Months,
09/15/2009 00:00:00,Fluor Completes RasGas Common Offplot Projects in Qatar,
09/14/2009 00:00:00,ICA Fluor Wins $638 Million Clean Fuels Projects from PEMEX,
09/10/2009 00:00:00,Fluor to Present at Barclays Capital Global Renewables Conference,
09/08/2009 00:00:00,CORRECTING and REPLACING Fluor Rebuilds Damaged Power Plant for ISAB Energy in Sicily,
08/31/2009 00:00:00,Fluor Makes Management Changes to Savannah River Nuclear Solutions Leadership Team,
08/27/2009 00:00:00,Fluor Completes Olefins II Project in Kuwait,
08/26/2009 00:00:00,Fluor CEO Sells Stock During Open Trading Window,
08/25/2009 00:00:00,Fluor Wins Contract for eSolar Reference Plant,
08/19/2009 00:00:00,NTTA Selects Fluor Team as Best Value Proposal for SH 161 Extension in Dallas/Fort Worth Region,
08/10/2009 00:00:00,Fluor Reports Second Quarter EPS of $0.93 and New Awards of $6.8 Billion,
08/07/2009 00:00:00,Fluor Secures Sakhalin-1 Chayvo Contract in Russia,
08/05/2009 00:00:00,Stanski to Head Fluor Government Group; Hopkins to Lead Corporate Development,
08/04/2009 00:00:00,Nader Sultan Joins Fluor’s Board of Directors; Vilma Martinez Resigns to Become U.S. Ambassador to Argentina,
08/03/2009 00:00:00,Fluor Forms Consortium with Global Industries to Pursue Offshore Projects,
07/31/2009 00:00:00,Fluor Corporation Announces Quarterly Dividend,
07/27/2009 00:00:00,Fluor Awarded FEED Contract for Santos Gladstone LNG Upstream Project in Australia,
07/21/2009 00:00:00,Fluor Wins UK FEED Contract for Scottish & Southern Energy,
07/13/2009 00:00:00,Fluor Corporation Announces Second Quarter Earnings Conference Call,
07/09/2009 00:00:00,Fluor Issues Inaugural Sustainability Report,
07/08/2009 00:00:00,U.S. Army Awards Fluor LOGCAP IV Task Order for Afghanistan,
07/07/2009 00:00:00,Fluor Secures Kearl Oil Sands Contract in Canada,
07/02/2009 00:00:00,Fluor Chosen for Ethisphere’s World’s Most Ethical Companies List for Third Straight Year,
07/01/2009 00:00:00,Fluor Announces Its 1.50% Convertible Senior Notes Due 2024 Have Become Convertible,
06/18/2009 00:00:00,Fluor Selected by Tenaska for Trailblazer Energy Center in Texas,
